/home/uosai/바탕화면/miniconda3/envs/simplenv/lib/python3.9/site-packages/gym/logger.py:34: UserWarning: [33mWARN: Box bound precision lowered by casting to float32
  warnings.warn(colorize("%s: %s" % ("WARN", msg % args), "yellow"))
Algo rmappo Exp ppo updates 665/60000 episodes, Accumulated Rewards 8.999988555908203
Algo rmappo Exp ppo updates 670/60000 episodes, Accumulated Rewards -1.0000133514404297
Algo rmappo Exp ppo updates 675/60000 episodes, Accumulated Rewards -4.6193599700927734e-06
Algo rmappo Exp ppo updates 680/60000 episodes, Accumulated Rewards 17.99998664855957
Algo rmappo Exp ppo updates 685/60000 episodes, Accumulated Rewards -10.000008583068848
Algo rmappo Exp ppo updates 690/60000 episodes, Accumulated Rewards 7.999997138977051
Algo rmappo Exp ppo updates 695/60000 episodes, Accumulated Rewards -12.000008583068848
Algo rmappo Exp ppo updates 700/60000 episodes, Accumulated Rewards 7.999991416931152
Algo rmappo Exp ppo updates 705/60000 episodes, Accumulated Rewards -11.000009536743164
Algo rmappo Exp ppo updates 710/60000 episodes, Accumulated Rewards -31.000011444091797
Algo rmappo Exp ppo updates 715/60000 episodes, Accumulated Rewards 15.999998092651367
Algo rmappo Exp ppo updates 720/60000 episodes, Accumulated Rewards -2.0000038146972656
Algo rmappo Exp ppo updates 725/60000 episodes, Accumulated Rewards 25.999988555908203
Algo rmappo Exp ppo updates 730/60000 episodes, Accumulated Rewards -11.000006675720215
Algo rmappo Exp ppo updates 735/60000 episodes, Accumulated Rewards -9.5367431640625e-06
Algo rmappo Exp ppo updates 740/60000 episodes, Accumulated Rewards -3.000014305114746
Algo rmappo Exp ppo updates 745/60000 episodes, Accumulated Rewards -11.000006675720215
Algo rmappo Exp ppo updates 750/60000 episodes, Accumulated Rewards 6.99998664855957
Algo rmappo Exp ppo updates 755/60000 episodes, Accumulated Rewards 8.999991416931152
Algo rmappo Exp ppo updates 760/60000 episodes, Accumulated Rewards -9.5367431640625e-06
Algo rmappo Exp ppo updates 765/60000 episodes, Accumulated Rewards -3.000006675720215
Algo rmappo Exp ppo updates 770/60000 episodes, Accumulated Rewards -2.0000123977661133
Algo rmappo Exp ppo updates 775/60000 episodes, Accumulated Rewards 6.999993324279785
Algo rmappo Exp ppo updates 780/60000 episodes, Accumulated Rewards -2.000002861022949
Algo rmappo Exp ppo updates 785/60000 episodes, Accumulated Rewards -1.0000026226043701
Algo rmappo Exp ppo updates 790/60000 episodes, Accumulated Rewards 7.999997138977051
Algo rmappo Exp ppo updates 795/60000 episodes, Accumulated Rewards -11.000009536743164
Algo rmappo Exp ppo updates 800/60000 episodes, Accumulated Rewards -19.00000762939453
Algo rmappo Exp ppo updates 805/60000 episodes, Accumulated Rewards -11.000004768371582
Algo rmappo Exp ppo updates 810/60000 episodes, Accumulated Rewards -10.000008583068848
Algo rmappo Exp ppo updates 815/60000 episodes, Accumulated Rewards -12.00000286102295
Algo rmappo Exp ppo updates 820/60000 episodes, Accumulated Rewards -1.0000133514404297
Algo rmappo Exp ppo updates 825/60000 episodes, Accumulated Rewards -2.0000057220458984
Algo rmappo Exp ppo updates 830/60000 episodes, Accumulated Rewards 17.999996185302734
Algo rmappo Exp ppo updates 835/60000 episodes, Accumulated Rewards -12.000003814697266
Algo rmappo Exp ppo updates 840/60000 episodes, Accumulated Rewards 7.999988555908203
Algo rmappo Exp ppo updates 845/60000 episodes, Accumulated Rewards -11.00001335144043
Algo rmappo Exp ppo updates 850/60000 episodes, Accumulated Rewards 7.999997138977051
Algo rmappo Exp ppo updates 855/60000 episodes, Accumulated Rewards -2.000011444091797
Algo rmappo Exp ppo updates 860/60000 episodes, Accumulated Rewards -13.00001049041748
Algo rmappo Exp ppo updates 865/60000 episodes, Accumulated Rewards 7.999999046325684
Algo rmappo Exp ppo updates 870/60000 episodes, Accumulated Rewards 6.999996185302734
Algo rmappo Exp ppo updates 875/60000 episodes, Accumulated Rewards 5.999995231628418
Algo rmappo Exp ppo updates 880/60000 episodes, Accumulated Rewards 6.9999895095825195
Algo rmappo Exp ppo updates 885/60000 episodes, Accumulated Rewards 5.999994277954102
Algo rmappo Exp ppo updates 890/60000 episodes, Accumulated Rewards 16.99999237060547
Algo rmappo Exp ppo updates 895/60000 episodes, Accumulated Rewards 8.99998950958252
Algo rmappo Exp ppo updates 900/60000 episodes, Accumulated Rewards -2.000001907348633
Algo rmappo Exp ppo updates 905/60000 episodes, Accumulated Rewards 6.999990940093994
Algo rmappo Exp ppo updates 910/60000 episodes, Accumulated Rewards -2.0000038146972656
Algo rmappo Exp ppo updates 915/60000 episodes, Accumulated Rewards -18.00001335144043
Algo rmappo Exp ppo updates 920/60000 episodes, Accumulated Rewards -2.000011444091797
Algo rmappo Exp ppo updates 925/60000 episodes, Accumulated Rewards -2.000006675720215
Algo rmappo Exp ppo updates 930/60000 episodes, Accumulated Rewards -1.9999995231628418
Algo rmappo Exp ppo updates 935/60000 episodes, Accumulated Rewards 16.99999237060547
